,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2023-08-19,20:45,Serie A,Matchweek 1,Sat,Home,W,2.0,0.0,Monza,2.7,0.8,47.0,72509.0,Lautaro Martínez,3-5-2,Andrea Colombo,Match Report,,22.0,3.0,17.2,1.0,0,0,2022,Internazionale
1,2023-08-28,20:45,Serie A,Matchweek 2,Mon,Away,W,2.0,0.0,Cagliari,0.9,0.6,67.0,16412.0,Lautaro Martínez,3-5-2,Michael Fabbri,Match Report,,17.0,3.0,15.9,0.0,0,0,2022,Internazionale
2,2023-09-03,18:30,Serie A,Matchweek 3,Sun,Home,W,4.0,0.0,Fiorentina,3.7,0.4,40.0,72739.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,20.0,10.0,14.5,1.0,1,1,2022,Internazionale
3,2023-09-16,18:00,Serie A,Matchweek 4,Sat,Home,W,5.0,1.0,Milan,2.6,1.1,41.0,75571.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,13.0,6.0,15.2,1.0,1,1,2022,Internazionale
5,2023-09-24,12:30,Serie A,Matchweek 5,Sun,Away,W,1.0,0.0,Empoli,1.6,0.3,61.0,15651.0,Lautaro Martínez,3-5-2,Matteo Marcenaro,Match Report,,23.0,5.0,16.8,0.0,0,0,2022,Internazionale
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Home,L,1.0,2.0,Sassuolo,0.9,1.0,63.0,70864.0,Lautaro Martínez,3-5-2,Luca Massimi,Match Report,,13.0,3.0,15.2,0.0,0,0,2022,Internazionale
7,2023-09-30,20:45,Serie A,Matchweek 7,Sat,Away,W,4.0,0.0,Salernitana,2.3,0.6,64.0,28085.0,Nicolò Barella,3-5-2,Rosario Abisso,Match Report,,15.0,5.0,16.8,1.0,1,1,2022,Internazionale
9,2023-10-07,15:00,Serie A,Matchweek 8,Sat,Home,D,2.0,2.0,Bologna,0.7,1.3,63.0,74072.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,14.0,5.0,18.3,1.0,0,0,2022,Internazionale
10,2023-10-21,18:00,Serie A,Matchweek 9,Sat,Away,W,3.0,0.0,Torino,2.5,0.4,53.0,26193.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,13.0,3.0,17.1,1.0,1,1,2022,Internazionale
12,2023-10-29,18:00,Serie A,Matchweek 10,Sun,Home,W,1.0,0.0,Roma,2.2,0.1,63.0,75573.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,19.0,3.0,16.0,0.0,0,0,2022,Internazionale
13,2023-11-04,18:00,Serie A,Matchweek 11,Sat,Away,W,2.0,1.0,Atalanta,1.3,1.0,46.0,14945.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,9.0,3.0,23.0,1.0,1,1,2022,Internazionale
15,2023-11-12,20:45,Serie A,Matchweek 12,Sun,Home,W,2.0,0.0,Frosinone,3.1,0.7,47.0,70816.0,Lautaro Martínez,3-5-2,Federico Dionisi,Match Report,,20.0,5.0,19.6,1.0,1,1,2022,Internazionale
16,2023-11-26,20:45,Serie A,Matchweek 13,Sun,Away,D,1.0,1.0,Juventus,0.9,0.4,65.0,41507.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,8.0,4.0,16.4,0.0,0,0,2022,Internazionale
18,2023-12-03,20:45,Serie A,Matchweek 14,Sun,Away,W,3.0,0.0,Napoli,2.7,0.6,43.0,55000.0,Lautaro Martínez,3-5-2,Davide Massa,Match Report,,11.0,4.0,16.0,0.0,0,0,2022,Internazionale
19,2023-12-09,20:45,Serie A,Matchweek 15,Sat,Home,W,4.0,0.0,Udinese,3.5,0.8,74.0,71874.0,Lautaro Martínez,3-5-2,Marco Di Bello,Match Report,,16.0,7.0,16.7,0.0,1,1,2022,Internazionale
21,2023-12-17,20:45,Serie A,Matchweek 16,Sun,Away,W,2.0,0.0,Lazio,1.6,1.5,52.0,59000.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,12.0,4.0,13.8,1.0,0,0,2022,Internazionale
23,2023-12-23,18:00,Serie A,Matchweek 17,Sat,Home,W,2.0,0.0,Lecce,2.9,1.3,68.0,72723.0,Nicolò Barella,3-5-2,Matteo Marcenaro,Match Report,,20.0,8.0,15.1,1.0,0,0,2022,Internazionale
24,2023-12-29,20:45,Serie A,Matchweek 18,Fri,Away,D,1.0,1.0,Genoa,1.8,0.5,52.0,33249.0,Nicolò Barella,3-5-2,Daniele Doveri,Match Report,,16.0,6.0,14.4,0.0,0,0,2022,Internazionale
25,2024-01-06,12:30,Serie A,Matchweek 19,Sat,Home,W,2.0,1.0,Hellas Verona,1.9,1.3,61.0,71691.0,Lautaro Martínez,3-5-2,Michael Fabbri,Match Report,,15.0,6.0,15.2,0.0,0,0,2022,Internazionale
26,2024-01-13,20:45,Serie A,Matchweek 20,Sat,Away,W,5.0,1.0,Monza,4.3,1.0,43.0,14670.0,Lautaro Martínez,3-5-2,Antonio Rapuano,Match Report,,18.0,5.0,19.7,1.0,2,2,2022,Internazionale
29,2024-01-28,20:45,Serie A,Matchweek 22,Sun,Away,W,1.0,0.0,Fiorentina,0.5,1.8,43.0,,Lautaro Martínez,3-5-2,Gianluca Aureliano,Match Report,,8.0,4.0,17.1,0.0,0,0,2022,Internazionale
30,2024-02-04,20:45,Serie A,Matchweek 23,Sun,Home,W,1.0,0.0,Juventus,1.7,0.6,54.0,,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,15.0,3.0,15.4,0.0,0,0,2022,Internazionale
31,2024-02-10,18:00,Serie A,Matchweek 24,Sat,Away,W,4.0,2.0,Roma,0.9,0.7,53.0,,Lautaro Martínez,5-3-2,Marco Guida,Match Report,,10.0,6.0,21.2,1.0,0,0,2022,Internazionale
32,2024-02-16,21:00,Serie A,Matchweek 25,Fri,Home,W,4.0,0.0,Salernitana,3.9,0.0,75.0,,Lautaro Martínez,3-5-2,Marco Piccinini,Match Report,,26.0,10.0,14.0,1.0,0,0,2022,Internazionale
34,2024-02-25,18:00,Serie A,Matchweek 26,Sun,Away,W,4.0,0.0,Lecce,2.9,1.0,61.0,,Lautaro Martínez,3-5-2,Daniele Doveri,Match Report,,11.0,7.0,15.6,0.0,0,0,2022,Internazionale
35,2024-02-28,20:45,Serie A,Matchweek 21,Wed,Home,W,4.0,0.0,Atalanta,2.0,0.3,59.0,,Lautaro Martínez,3-5-2,Andrea Colombo,Match Report,,14.0,6.0,17.8,0.0,0,1,2022,Internazionale
36,2024-03-04,20:45,Serie A,Matchweek 27,Mon,Home,W,2.0,1.0,Genoa,1.8,0.8,62.0,,Lautaro Martínez,3-5-2,Giovanni Ayroldi,Match Report,,14.0,4.0,17.9,0.0,1,1,2022,Internazionale
37,2024-03-09,18:00,Serie A,Matchweek 28,Sat,Away,W,1.0,0.0,Bologna,0.9,0.7,41.0,,Nicolò Barella,3-5-2,Luca Pairetto,Match Report,,5.0,4.0,12.6,0.0,0,0,2022,Internazionale
0,2023-08-20,20:45,Serie A,Matchweek 1,Sun,Away,W,3.0,0.0,Udinese,1.8,1.0,51.0,24911.0,Danilo,3-1-4-2,Antonio Rapuano,Match Report,,8.0,3.0,17.0,0.0,1,1,2022,Juventus
1,2023-08-27,18:30,Serie A,Matchweek 2,Sun,Home,D,1.0,1.0,Bologna,0.8,0.5,58.0,36107.0,Danilo,3-1-4-2,Marco Di Bello,Match Report,,14.0,3.0,18.0,1.0,0,0,2022,Juventus
2,2023-09-03,20:45,Serie A,Matchweek 3,Sun,Away,W,2.0,0.0,Empoli,2.7,0.3,50.0,15702.0,Danilo,3-5-2,Giovanni Ayroldi,Match Report,,17.0,4.0,17.6,0.0,0,1,2022,Juventus
3,2023-09-16,15:00,Serie A,Matchweek 4,Sat,Home,W,3.0,1.0,Lazio,2.2,0.6,36.0,40652.0,Danilo,3-1-4-2,Fabio Maresca,Match Report,,17.0,7.0,12.8,0.0,0,0,2022,Juventus
4,2023-09-23,18:00,Serie A,Matchweek 5,Sat,Away,L,2.0,4.0,Sassuolo,1.2,1.6,57.0,20141.0,Danilo,3-1-4-2,Andrea Colombo,Match Report,,15.0,2.0,18.2,1.0,0,0,2022,Juventus
5,2023-09-26,20:45,Serie A,Matchweek 6,Tue,Home,W,1.0,0.0,Lecce,1.4,0.1,50.0,37498.0,Danilo,3-1-4-2,Antonio Giua,Match Report,,15.0,5.0,18.2,0.0,0,0,2022,Juventus
6,2023-10-01,18:00,Serie A,Matchweek 7,Sun,Away,D,0.0,0.0,Atalanta,0.2,1.2,48.0,14811.0,Danilo,3-1-4-2,Daniele Chiffi,Match Report,,5.0,3.0,22.3,1.0,0,0,2022,Juventus
7,2023-10-07,18:00,Serie A,Matchweek 8,Sat,Home,W,2.0,0.0,Torino,1.9,0.6,50.0,38858.0,Danilo,3-5-2,Davide Massa,Match Report,,17.0,5.0,15.1,0.0,0,0,2022,Juventus
8,2023-10-22,20:45,Serie A,Matchweek 9,Sun,Away,W,1.0,0.0,Milan,1.4,0.3,48.0,75676.0,Adrien Rabiot,3-5-2,Maurizio Mariani,Match Report,,14.0,4.0,19.5,1.0,0,0,2022,Juventus
9,2023-10-28,20:45,Serie A,Matchweek 10,Sat,Home,W,1.0,0.0,Hellas Verona,3.3,0.3,54.0,39429.0,Adrien Rabiot,3-5-2,Ermanno Feliciani,Match Report,,30.0,5.0,17.8,0.0,0,0,2022,Juventus
10,2023-11-05,20:45,Serie A,Matchweek 11,Sun,Away,W,1.0,0.0,Fiorentina,0.7,0.7,32.0,38225.0,Adrien Rabiot,3-5-2,Daniele Chiffi,Match Report,,4.0,3.0,12.3,0.0,0,0,2022,Juventus
11,2023-11-11,18:00,Serie A,Matchweek 12,Sat,Home,W,2.0,1.0,Cagliari,2.3,0.6,49.0,39892.0,Manuel Locatelli,3-5-2,Marco Piccinini,Match Report,,18.0,4.0,14.1,1.0,0,0,2022,Juventus
12,2023-11-26,20:45,Serie A,Matchweek 13,Sun,Home,D,1.0,1.0,Inter,0.4,0.9,35.0,41507.0,Adrien Rabiot,5-3-2,Marco Guida,Match Report,,4.0,1.0,19.8,0.0,0,0,2022,Juventus
13,2023-12-01,20:45,Serie A,Matchweek 14,Fri,Away,W,2.0,1.0,Monza,2.5,0.7,35.0,15148.0,Adrien Rabiot,3-5-2,Michael Fabbri,Match Report,,17.0,6.0,16.2,1.0,0,1,2022,Juventus
14,2023-12-08,20:45,Serie A,Matchweek 15,Fri,Home,W,1.0,0.0,Napoli,0.9,1.2,34.0,41400.0,Danilo,3-5-2,Daniele Orsato,Match Report,,11.0,2.0,17.3,0.0,0,0,2022,Juventus
15,2023-12-15,20:45,Serie A,Matchweek 16,Fri,Away,D,1.0,1.0,Genoa,1.7,0.8,57.0,33232.0,Danilo,3-5-2,Davide Massa,Match Report,,10.0,3.0,15.2,0.0,1,1,2022,Juventus
16,2023-12-23,12:30,Serie A,Matchweek 17,Sat,Away,W,2.0,1.0,Frosinone,1.1,0.5,44.0,38225.0,Danilo,3-5-2,Maurizio Mariani,Match Report,,13.0,3.0,14.5,0.0,0,0,2022,Juventus
17,2023-12-30,20:45,Serie A,Matchweek 18,Sat,Home,W,1.0,0.0,Roma,1.1,0.5,43.0,41503.0,Danilo,3-5-2,Simone Sozza,Match Report,,13.0,3.0,18.0,0.0,0,0,2022,Juventus
19,2024-01-07,18:00,Serie A,Matchweek 19,Sun,Away,W,2.0,1.0,Salernitana,2.0,0.8,70.0,40548.0,Danilo,3-5-2,Marco Guida,Match Report,,18.0,3.0,15.9,1.0,0,0,2022,Juventus
21,2024-01-16,20:45,Serie A,Matchweek 20,Tue,Home,W,3.0,0.0,Sassuolo,1.2,0.3,46.0,,Danilo,3-5-2,Marco Piccinini,Match Report,,12.0,5.0,20.4,2.0,0,0,2022,Juventus
22,2024-01-21,20:45,Serie A,Matchweek 21,Sun,Away,W,3.0,0.0,Lecce,2.1,0.6,49.0,,Danilo,3-5-2,Daniele Doveri,Match Report,,15.0,6.0,11.3,0.0,0,0,2022,Juventus
23,2024-01-27,18:00,Serie A,Matchweek 22,Sat,Home,D,1.0,1.0,Empoli,0.8,0.8,40.0,,Alex Sandro,3-5-2,Livio Marinelli,Match Report,,9.0,3.0,17.4,1.0,0,0,2022,Juventus
24,2024-02-04,20:45,Serie A,Matchweek 23,Sun,Away,L,0.0,1.0,Inter,0.6,1.7,46.0,,Danilo,3-5-2,Fabio Maresca,Match Report,,12.0,1.0,18.5,0.0,0,0,2022,Juventus
25,2024-02-12,20:45,Serie A,Matchweek 24,Mon,Home,L,0.0,1.0,Udinese,1.7,0.7,70.0,,Adrien Rabiot,3-5-2,Rosario Abisso,Match Report,,14.0,6.0,16.6,0.0,0,0,2022,Juventus
26,2024-02-17,18:00,Serie A,Matchweek 25,Sat,Away,D,2.0,2.0,Hellas Verona,1.8,0.6,56.0,,Danilo,3-5-2,Marco Di Bello,Match Report,,17.0,3.0,19.1,1.0,1,1,2022,Juventus
27,2024-02-25,12:30,Serie A,Matchweek 26,Sun,Home,W,3.0,2.0,Frosinone,2.0,0.4,62.0,,Adrien Rabiot,3-5-2,Antonio Rapuano,Match Report,,22.0,5.0,15.4,0.0,0,0,2022,Juventus
28,2024-03-03,20:45,Serie A,Matchweek 27,Sun,Away,L,1.0,2.0,Napoli,1.6,2.1,30.0,,Alex Sandro,3-5-2,Maurizio Mariani,Match Report,,18.0,4.0,17.3,1.0,0,0,2022,Juventus
0,2023-08-21,20:45,Serie A,Matchweek 1,Mon,Away,W,2.0,0.0,Bologna,0.9,1.0,47.0,30203.0,Davide Calabria,4-3-3,Luca Pairetto,Match Report,,9.0,5.0,15.7,0.0,0,0,2022,Milan
1,2023-08-26,20:45,Serie A,Matchweek 2,Sat,Home,W,4.0,1.0,Torino,3.0,0.5,59.0,72013.0,Davide Calabria,4-3-3,Maurizio Mariani,Match Report,,15.0,5.0,20.7,0.0,2,2,2022,Milan
2,2023-09-01,20:45,Serie A,Matchweek 3,Fri,Away,W,2.0,1.0,Roma,1.5,0.7,56.0,61690.0,Davide Calabria,4-2-3-1,Antonio Rapuano,Match Report,,8.0,3.0,14.2,0.0,1,1,2022,Milan
3,2023-09-16,18:00,Serie A,Matchweek 4,Sat,Away,L,1.0,5.0,Inter,1.1,2.6,59.0,75571.0,Davide Calabria,4-3-3,Simone Sozza,Match Report,,9.0,2.0,18.6,1.0,0,0,2022,Milan
5,2023-09-23,15:00,Serie A,Matchweek 5,Sat,Home,W,1.0,0.0,Hellas Verona,0.9,0.6,54.0,71070.0,Rafael Leão,4-2-3-1,Fabio Maresca,Match Report,,9.0,4.0,13.7,0.0,0,0,2022,Milan
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Away,W,3.0,1.0,Cagliari,2.1,0.9,66.0,16348.0,Theo Hernández,4-3-3,Federico La Penna,Match Report,,17.0,6.0,17.8,0.0,0,0,2022,Milan
7,2023-09-30,18:00,Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Lazio,2.2,0.5,51.0,72035.0,Davide Calabria,4-3-3,Davide Massa,Match Report,,14.0,7.0,15.0,0.0,0,0,2022,Milan
9,2023-10-07,20:45,Serie A,Matchweek 8,Sat,Away,W,1.0,0.0,Genoa,0.6,0.5,59.0,33157.0,Theo Hernández,4-3-3,Marco Piccinini,Match Report,,12.0,3.0,19.6,0.0,0,0,2022,Milan
10,2023-10-22,20:45,Serie A,Matchweek 9,Sun,Home,L,0.0,1.0,Juventus,0.3,1.4,52.0,75676.0,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,,7.0,1.0,17.9,0.0,0,0,2022,Milan
12,2023-10-29,20:45,Serie A,Matchweek 10,Sun,Away,D,2.0,2.0,Napoli,2.0,1.7,52.0,54000.0,Davide Calabria,4-3-3,Daniele Orsato,Match Report,,20.0,6.0,15.2,1.0,0,0,2022,Milan
13,2023-11-04,20:45,Serie A,Matchweek 11,Sat,Home,L,0.0,1.0,Udinese,0.9,1.4,72.0,71018.0,Davide Calabria,4-4-2,Juan Sacchi,Match Report,,14.0,4.0,18.6,0.0,0,0,2022,Milan
15,2023-11-11,15:00,Serie A,Matchweek 12,Sat,Away,D,2.0,2.0,Lecce,1.1,1.4,55.0,26480.0,Davide Calabria,4-2-3-1,Rosario Abisso,Match Report,,10.0,6.0,15.5,0.0,0,0,2022,Milan
16,2023-11-25,20:45,Serie A,Matchweek 13,Sat,Home,W,1.0,0.0,Fiorentina,1.8,1.8,42.0,73074.0,Davide Calabria,4-2-3-1,Marco Di Bello,Match Report,,8.0,5.0,15.7,0.0,1,1,2022,Milan
18,2023-12-02,20:45,Serie A,Matchweek 14,Sat,Home,W,3.0,1.0,Frosinone,1.2,0.7,47.0,68684.0,Davide Calabria,4-3-3,Matteo Marchetti,Match Report,,10.0,3.0,16.4,0.0,0,0,2022,Milan
19,2023-12-09,18:00,Serie A,Matchweek 15,Sat,Away,L,2.0,3.0,Atalanta,1.5,3.3,58.0,14907.0,Davide Calabria,4-3-3,Federico La Penna,Match Report,,14.0,3.0,18.3,0.0,0,0,2022,Milan
21,2023-12-17,12:30,Serie A,Matchweek 16,Sun,Home,W,3.0,0.0,Monza,2.0,1.5,45.0,70538.0,Theo Hernández,3-4-3,Gianluca Aureliano,Match Report,,17.0,9.0,15.7,0.0,0,0,2022,Milan
22,2023-12-22,20:45,Serie A,Matchweek 17,Fri,Away,D,2.0,2.0,Salernitana,2.2,1.4,65.0,23467.0,Davide Calabria,4-2-3-1,Daniele Doveri,Match Report,,21.0,8.0,16.3,0.0,0,0,2022,Milan
23,2023-12-30,18:00,Serie A,Matchweek 18,Sat,Home,W,1.0,0.0,Sassuolo,1.5,0.5,58.0,70385.0,Davide Calabria,4-2-3-1,Livio Marinelli,Match Report,,20.0,2.0,18.1,1.0,0,0,2022,Milan
25,2024-01-07,12:30,Serie A,Matchweek 19,Sun,Away,W,3.0,0.0,Empoli,1.7,0.9,65.0,15009.0,Davide Calabria,4-3-3,Federico La Penna,Match Report,,12.0,5.0,18.5,0.0,1,1,2022,Milan
27,2024-01-14,20:45,Serie A,Matchweek 20,Sun,Home,W,3.0,1.0,Roma,1.5,1.4,48.0,74198.0,Theo Hernández,4-3-3,Marco Guida,Match Report,,17.0,5.0,17.4,0.0,0,0,2022,Milan
28,2024-01-20,20:45,Serie A,Matchweek 21,Sat,Away,W,3.0,2.0,Udinese,2.6,0.6,69.0,,Davide Calabria,4-3-3,Fabio Maresca,Match Report,,15.0,7.0,12.3,0.0,0,0,2022,Milan
29,2024-01-27,20:45,Serie A,Matchweek 22,Sat,Home,D,2.0,2.0,Bologna,3.3,1.8,50.0,,Davide Calabria,4-2-3-1,Davide Massa,Match Report,,12.0,3.0,18.4,0.0,0,2,2022,Milan
30,2024-02-03,18:00,Serie A,Matchweek 23,Sat,Away,W,3.0,2.0,Frosinone,1.4,1.0,58.0,,Davide Calabria,4-2-3-1,Luca Pairetto,Match Report,,13.0,5.0,15.4,0.0,0,0,2022,Milan
31,2024-02-11,20:45,Serie A,Matchweek 24,Sun,Home,W,1.0,0.0,Napoli,0.9,0.7,41.0,,Davide Calabria,4-2-3-1,Daniele Doveri,Match Report,,10.0,6.0,18.3,0.0,0,0,2022,Milan
33,2024-02-18,20:45,Serie A,Matchweek 25,Sun,Away,L,2.0,4.0,Monza,1.3,1.8,51.0,,Theo Hernández,4-2-3-1,Andrea Colombo,Match Report,,16.0,6.0,18.6,1.0,0,0,2022,Milan
35,2024-02-25,20:45,Serie A,Matchweek 26,Sun,Home,D,1.0,1.0,Atalanta,1.3,1.1,68.0,,Theo Hernández,4-2-3-1,Daniele Orsato,Match Report,,20.0,6.0,19.0,0.0,0,0,2022,Milan
36,2024-03-01,20:45,Serie A,Matchweek 27,Fri,Away,W,1.0,0.0,Lazio,1.0,1.3,61.0,,Theo Hernández,4-2-3-1,Marco Di Bello,Match Report,,14.0,5.0,18.0,1.0,0,0,2022,Milan
1,2023-08-21,20:45,Serie A,Matchweek 1,Mon,Home,L,0,2,Milan,1.0,0.9,53.0,30203.0,Nicolás Domínguez,4-1-3-2,Luca Pairetto,Match Report,,17.0,5.0,17.1,1.0,0,0,2022,Bologna
2,2023-08-27,18:30,Serie A,Matchweek 2,Sun,Away,D,1,1,Juventus,0.5,0.8,42.0,36107.0,Riccardo Orsolini,4-2-3-1,Marco Di Bello,Match Report,,10.0,4.0,21.7,1.0,0,0,2022,Bologna
3,2023-09-02,18:30,Serie A,Matchweek 3,Sat,Home,W,2,1,Cagliari,2.3,0.5,71.0,22818.0,Stefan Posch,4-2-3-1,Daniele Orsato,Match Report,,15.0,7.0,17.3,0.0,0,1,2022,Bologna
4,2023-09-18,20:45,Serie A,Matchweek 4,Mon,Away,D,0,0,Hellas Verona,0.6,0.4,60.0,18863.0,Lorenzo De Silvestri,4-2-3-1,Federico La Penna,Match Report,,11.0,4.0,20.9,0.0,0,0,2022,Bologna
5,2023-09-24,18:00,Serie A,Matchweek 5,Sun,Home,D,0,0,Napoli,0.2,2.1,49.0,26621.0,Michel Aebischer,4-2-3-1,Giovanni Ayroldi,Match Report,,4.0,2.0,15.4,0.0,0,0,2022,Bologna
6,2023-09-28,18:30,Serie A,Matchweek 6,Thu,Away,D,0,0,Monza,0.7,0.7,53.0,8930.0,Lorenzo De Silvestri,4-2-3-1,Ivan Pezzuto,Match Report,,8.0,5.0,17.2,1.0,0,0,2022,Bologna
7,2023-10-01,12:30,Serie A,Matchweek 7,Sun,Home,W,3,0,Empoli,2.4,0.9,58.0,23689.0,Lewis Ferguson,4-2-3-1,Fabio Maresca,Match Report,,21.0,9.0,17.3,1.0,0,0,2022,Bologna
8,2023-10-07,15:00,Serie A,Matchweek 8,Sat,Away,D,2,2,Inter,1.3,0.7,37.0,74072.0,Lorenzo De Silvestri,4-2-3-1,Marco Guida,Match Report,,7.0,2.0,19.9,0.0,1,1,2022,Bologna
9,2023-10-22,15:00,Serie A,Matchweek 9,Sun,Home,W,2,1,Frosinone,1.5,1.5,55.0,26729.0,Lorenzo De Silvestri,4-2-3-1,Daniele Doveri,Match Report,,12.0,6.0,15.7,1.0,0,0,2022,Bologna
10,2023-10-28,15:00,Serie A,Matchweek 10,Sat,Away,D,1,1,Sassuolo,1.0,0.9,59.0,16931.0,Lorenzo De Silvestri,4-2-3-1,Antonio Giua,Match Report,,9.0,4.0,20.9,1.0,0,0,2022,Bologna
12,2023-11-03,20:45,Serie A,Matchweek 11,Fri,Home,W,1,0,Lazio,0.6,0.5,50.0,24178.0,Michel Aebischer,4-2-3-1,Federico La Penna,Match Report,,6.0,2.0,16.7,1.0,0,0,2022,Bologna
13,2023-11-12,15:00,Serie A,Matchweek 12,Sun,Away,L,1,2,Fiorentina,1.8,1.4,61.0,29750.0,Michel Aebischer,4-2-3-1,Fabio Maresca,Match Report,,10.0,3.0,16.4,0.0,1,1,2022,Bologna
14,2023-11-27,20:45,Serie A,Matchweek 13,Mon,Home,W,2,0,Torino,1.5,0.4,48.0,20705.0,Michel Aebischer,4-2-3-1,Andrea Colombo,Match Report,,13.0,2.0,17.5,0.0,0,0,2022,Bologna
15,2023-12-03,12:30,Serie A,Matchweek 14,Sun,Away,D,1,1,Lecce,1.2,1.5,57.0,24326.0,Michel Aebischer,4-3-3,Daniele Doveri,Match Report,,11.0,4.0,16.5,1.0,0,0,2022,Bologna
16,2023-12-10,18:00,Serie A,Matchweek 15,Sun,Away,W,2,1,Salernitana,2.1,0.5,65.0,16700.0,Lewis Ferguson,4-2-3-1,Simone Sozza,Match Report,,10.0,5.0,18.2,0.0,0,0,2022,Bologna
17,2023-12-17,18:00,Serie A,Matchweek 16,Sun,Home,W,2,0,Roma,0.5,0.6,55.0,25579.0,Lewis Ferguson,4-2-3-1,Marco Guida,Match Report,,8.0,2.0,20.1,1.0,0,0,2022,Bologna
19,2023-12-23,15:00,Serie A,Matchweek 17,Sat,Home,W,1,0,Atalanta,0.7,1.2,60.0,28082.0,Lewis Ferguson,4-2-3-1,Antonio Rapuano,Match Report,,9.0,1.0,28.0,0.0,0,0,2022,Bologna
20,2023-12-30,15:00,Serie A,Matchweek 18,Sat,Away,L,0,3,Udinese,0.9,1.1,73.0,24786.0,Lewis Ferguson,4-2-3-1,Daniele Orsato,Match Report,,14.0,5.0,17.0,1.0,0,0,2022,Bologna
21,2024-01-05,20:45,Serie A,Matchweek 19,Fri,Home,D,1,1,Genoa,1.3,0.1,71.0,25095.0,Joshua Zirkzee,4-2-3-1,Andrea Colombo,Match Report,,21.0,8.0,17.5,0.0,0,0,2022,Bologna
23,2024-01-14,15:00,Serie A,Matchweek 20,Sun,Away,L,1,2,Cagliari,0.6,0.7,64.0,15980.0,Lewis Ferguson,4-2-3-1,Gianluca Manganiello,Match Report,,11.0,4.0,16.4,0.0,0,0,2022,Bologna
24,2024-01-27,20:45,Serie A,Matchweek 22,Sat,Away,D,2,2,Milan,1.8,3.3,50.0,,Lewis Ferguson,4-2-3-1,Davide Massa,Match Report,,14.0,3.0,18.1,0.0,1,1,2022,Bologna
25,2024-02-03,20:45,Serie A,Matchweek 23,Sat,Home,W,4,2,Sassuolo,1.1,0.8,70.0,,Lewis Ferguson,4-3-3,Juan Sacchi,Match Report,,19.0,3.0,18.8,1.0,0,0,2022,Bologna
26,2024-02-11,15:00,Serie A,Matchweek 24,Sun,Home,W,4,0,Lecce,1.5,1.2,64.0,,Lewis Ferguson,4-1-4-1,Gianluca Manganiello,Match Report,,16.0,6.0,17.1,0.0,0,0,2022,Bologna
27,2024-02-14,19:00,Serie A,Matchweek 21,Wed,Home,W,2,0,Fiorentina,2.1,0.9,57.0,,Lewis Ferguson,4-1-4-1,Daniele Chiffi,Match Report,,18.0,7.0,15.0,0.0,0,0,2022,Bologna
28,2024-02-18,12:30,Serie A,Matchweek 25,Sun,Away,W,2,1,Lazio,1.4,1.1,56.0,,Lewis Ferguson,4-1-4-1,Fabio Maresca,Match Report,,11.0,3.0,16.9,1.0,0,0,2022,Bologna
29,2024-02-23,20:45,Serie A,Matchweek 26,Fri,Home,W,2,0,Hellas Verona,1.6,0.6,58.0,,Riccardo Orsolini,4-2-3-1,Rosario Abisso,Match Report,,12.0,3.0,13.2,0.0,0,0,2022,Bologna
30,2024-03-03,18:00,Serie A,Matchweek 27,Sun,Away,W,2,1,Atalanta,1.3,1.4,45.0,,Lewis Ferguson,4-1-4-1,Federico La Penna,Match Report,,10.0,5.0,22.5,0.0,1,1,2022,Bologna
31,2024-03-09,18:00,Serie A,Matchweek 28,Sat,Home,L,0,1,Inter,0.7,0.9,59.0,,Lewis Ferguson,4-1-4-1,Luca Pairetto,Match Report,,19.0,3.0,22.0,1.0,0,0,2022,Bologna
0,2023-08-20,18:30,Serie A,Matchweek 1,Sun,Home,D,2,2,Salernitana,1.9,0.1,60.0,62050.0,Gianluca Mancini,3-1-4-2,Ermanno Feliciani,Match Report,,13.0,3.0,15.3,1.0,0,0,2022,Roma
1,2023-08-26,20:45,Serie A,Matchweek 2,Sat,Away,L,1,2,Hellas Verona,1.5,0.7,71.0,23147.0,Lorenzo Pellegrini,3-5-2,Daniele Doveri,Match Report,,23.0,7.0,17.3,2.0,0,0,2022,Roma
2,2023-09-01,20:45,Serie A,Matchweek 3,Fri,Home,L,1,2,Milan,0.7,1.5,44.0,61690.0,Gianluca Mancini,3-5-2,Antonio Rapuano,Match Report,,13.0,2.0,21.6,1.0,0,0,2022,Roma
3,2023-09-17,20:45,Serie A,Matchweek 4,Sun,Home,W,7,0,Empoli,2.4,0.2,53.0,61443.0,Gianluca Mancini,3-5-2,Juan Sacchi,Match Report,,13.0,8.0,18.9,1.0,1,1,2022,Roma
